id,Name,fossil_bio,ipcc_code_2006_for_standard_report_name,Year,Total
84870,"United States",fossil,"Biological Treatment of Solid Waste",2021,109.35107617200002
73076,"El Salvador",fossil,"Biological Treatment of Solid Waste",2021,0.39328266000000006
83804,Ukraine,fossil,"Biological Treatment of Solid Waste",2021,0.00006535416
81842,Turkey,fossil,"Biological Treatment of Solid Waste",2021,0.4619229
76233,Sweden,fossil,"Biological Treatment of Solid Waste",2021,0.3610266119999999
75128,Slovakia,fossil,"Biological Treatment of Solid Waste",2021,0.8655189120000002
75647,Slovenia,fossil,"Biological Treatment of Solid Waste",2021,0.532745616
50255,Latvia,fossil,"Biological Treatment of Solid Waste",2021,1.339406832
69089,"Russian Federation",fossil,"Biological Treatment of Solid Waste",2021,0.01631526
65101,Poland,fossil,"Biological Treatment of Solid Waste",2021,1.8282826919999995
60690,Norway,fossil,"Biological Treatment of Solid Waste",2021,1.3394415239999997
49785,Luxembourg,fossil,"Biological Treatment of Solid Waste",2021,0.11916407999999996
66350,Portugal,fossil,"Biological Treatment of Solid Waste",2021,0.3647816160000001
68510,Romania,fossil,"Biological Treatment of Solid Waste",2021,0.44480020800000014
61549,"New Zealand",fossil,"Biological Treatment of Solid Waste",2021,1.126327044
60140,Netherlands,fossil,"Biological Treatment of Solid Waste",2021,8.416990476
49367,Lithuania,fossil,"Biological Treatment of Solid Waste",2021,0.59364714
8020,Bulgaria,fossil,"Biological Treatment of Solid Waste",2021,0.07559809199999999
6260,Belgium,fossil,"Biological Treatment of Solid Waste",2021,2.2199677799999997
14049,Canada,fossil,"Biological Treatment of Solid Waste",2021,10.392233376
14600,Switzerland,fossil,"Biological Treatment of Solid Waste",2021,2.3017412639999995
21771,Germany,fossil,"Biological Treatment of Solid Waste",2021,37.400113764000004
21139,"Czech Republic",fossil,"Biological Treatment of Solid Waste",2021,3.6682604999999993
23156,Denmark,fossil,"Biological Treatment of Solid Waste",2021,6.273667199999999
4770,Austria,fossil,"Biological Treatment of Solid Waste",2021,5.4143555039999995
20541,Cyprus,fossil,"Biological Treatment of Solid Waste",2021,0.15086451600000003
4168,Australia,fossil,"Biological Treatment of Solid Waste",2021,24.97649472
42767,Japan,fossil,"Biological Treatment of Solid Waste",2021,0.36311092800000005
39249,Ireland,fossil,"Biological Treatment of Solid Waste",2021,0.653959752
33763,Greece,fossil,"Biological Treatment of Solid Waste",2021,1.10945796
29022,France,fossil,"Biological Treatment of Solid Waste",2021,19.674100872000007
26595,Estonia,fossil,"Biological Treatment of Solid Waste",2021,0.6036767399999999
26075,Spain,fossil,"Biological Treatment of Solid Waste",2021,13.910782644000003
27609,Finland,fossil,"Biological Treatment of Solid Waste",2021,0.889779252
30128,"United Kingdom",fossil,"Biological Treatment of Solid Waste",2021,17.962341168
36707,Croatia,fossil,"Biological Treatment of Solid Waste",2021,0.18120596399999997
40410,Iceland,fossil,"Biological Treatment of Solid Waste",2021,0.11619198000000003
41388,Italy,fossil,"Biological Treatment of Solid Waste",2021,11.254184627999999
37592,Hungary,fossil,"Biological Treatment of Solid Waste",2021,0.6205815960000001
42771,Japan,fossil,"Chemical Industry",2021,4.160609664999999
40786,Israel,fossil,"Chemical Industry",2021,0.066000001
33756,Greece,fossil,"Chemical Industry",2021,0.007884885000000001
39675,"Iran, Islamic Republic of",fossil,"Chemical Industry",2021,17.67939396
36715,Croatia,fossil,"Chemical Industry",2021,0.056400145
38757,India,fossil,"Chemical Industry",2021,3.378166174
26072,Spain,fossil,"Chemical Industry",2021,0.763155385
38133,Indonesia,fossil,"Chemical Industry",2021,1.3835841750000002
30125,"United Kingdom",fossil,"Chemical Industry",2021,1.927304324
37590,Hungary,fossil,"Chemical Industry",2021,0.21469344899999993
33185,"Equatorial Guinea",fossil,"Chemical Industry",2021,2.8405000050000004
45782,"Korea, Republic of",fossil,"Chemical Industry",2021,5.425618104
47525,"Libyan Arab Jamahiriya",fossil,"Chemical Industry",2021,0.11549999899999999
27603,Finland,fossil,"Chemical Industry",2021,0.43502436099999997
46079,Kuwait,fossil,"Chemical Industry",2021,0.5823684039999999
41379,Italy,fossil,"Chemical Industry",2021,0.932489386
24929,Egypt,fossil,"Chemical Industry",2021,0.457878379
43242,Kazakhstan,fossil,"Chemical Industry",2021,0.038012965
29030,France,fossil,"Chemical Industry",2021,1.16911531
70325,"Serbia and Montenegro",fossil,"Chemical Industry",2021,0.082257797
69080,"Russian Federation",fossil,"Chemical Industry",2021,14.092502892999999
68511,Romania,fossil,"Chemical Industry",2021,1.4622064179999998
67514,Qatar,fossil,"Chemical Industry",2021,2.914796655
53177,"Macedonia, the former Yugoslav Republic of",fossil,"Chemical Industry",2021,0.001962298
65790,"Korea, Democratic People's Republic of",fossil,"Chemical Industry",2021,0.019800000999999998
60132,Netherlands,fossil,"Chemical Industry",2021,2.515700889
59147,Nigeria,fossil,"Chemical Industry",2021,0.11545393399999998
66353,Portugal,fossil,"Chemical Industry",2021,0.066052586
69846,"Saudi Arabia",fossil,"Chemical Industry",2021,26.175355008
52714,Mexico,fossil,"Chemical Industry",2021,1.757754536
61548,"New Zealand",fossil,"Chemical Industry",2021,3.0532769099999997
57504,Malaysia,fossil,"Chemical Industry",2021,6.107475034
60699,Norway,fossil,"Chemical Industry",2021,2.984597178
65109,Poland,fossil,"Chemical Industry",2021,0.255111449
63221,Peru,fossil,"Chemical Industry",2021,0.0003
61875,Oman,fossil,"Chemical Industry",2021,19.927888118000002
71587,Singapore,fossil,"Chemical Industry",2021,2.3929143309999996
49364,Lithuania,fossil,"Chemical Industry",2021,0.133482856
54439,Myanmar,fossil,"Chemical Industry",2021,0.2797223
63732,Philippines,fossil,"Chemical Industry",2021,0.0011745649
75141,Slovakia,fossil,"Chemical Industry",2021,0.09472846400000001
82379,"Taiwan_Province of China",fossil,"Chemical Industry",2021,5.297941290000001
80951,"Trinidad and Tobago",fossil,"Chemical Industry",2021,10.964934045
81848,Turkey,fossil,"Chemical Industry",2021,0.567391487
86188,Venezuela,fossil,"Chemical Industry",2021,3.491165792
84876,"United States",fossil,"Chemical Industry",2021,33.344489347
83810,Ukraine,fossil,"Chemical Industry",2021,0.454939157
